"","project","study","no","chip","well","plate","sampleID","tag_tube","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","datum","kw","BOLD_ID","note","plot_ID","elevation","temp_week","lattitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject"
"AW.B1.G001_S1","16S_AW_Butterfly_join12","Other",1,"B1","A1",1,"G001","1","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","19","12.07.2021",2021,7,12,712,"12.07.2021",29,"","",NA,320,17.86,49.46372,11.15081,"","","Amigo",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G001","G001","Pr","Pierinae","sample","med","SAMN55876226",1202446,"PRJNA1426605"
"AW.B1.G002_S2","16S_AW_Butterfly_join12","Other",2,"B1","A2",1,"G002","1","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","36","12.07.2021",2021,7,12,712,"12.07.2021",29,"","",NA,320,17.86,49.46372,11.15081,"","","Amigo",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G002","G002","Pr","Pierinae","sample","med","SAMN55876227",1202446,"PRJNA1426605"
"AW.B1.G003_S3","16S_AW_Butterfly_join12","Other",3,"B1","A3",1,"G003","1","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","23","12.07.2021",2021,7,12,712,"12.07.2021",29,"","",NA,320,17.86,49.46372,11.15081,"","","Amigo",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G003","G003","Pr","Pierinae","sample","med","SAMN55876228",1202446,"PRJNA1426605"
"AW.B1.G004_S4","16S_AW_Butterfly_join12","Other",4,"B1","A4",1,"G004","1","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Laufamholz","Germany","16","12.07.2021",2021,7,12,712,"12.07.2021",29,"","",NA,320,17.86,49.46372,11.15081,"","","Amigo",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G004","G004","Pr","Pierinae","sample","med","SAMN55876229",1202446,"PRJNA1426605"
"AW.B1.G005_S5","16S_AW_Butterfly_join12","Other",5,"B1","A5",1,"G005","1","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","23","12.07.2021",2021,7,12,712,"12.07.2021",29,"","",NA,320,17.86,49.46372,11.15081,"","","Amigo",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G005","G005","Pr","Pierinae","sample","high","SAMN55876230",1202446,"PRJNA1426605"
"AW.B1.G006_S6","16S_AW_Butterfly_join12","Other",6,"B1","A6",1,"G006","2","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Melanargiini","Melanargia","Melanargia galathea","unknown","Nuremberg","Laufamholz","Germany","8","18.07.2021",2021,7,18,718,"18.07.2021",30,"","",NA,320,18.67,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G006","G006","Mg","Satyrinae","sample","high","SAMN55876231",1202446,"PRJNA1426605"
"AW.B1.G007_S7","16S_AW_Butterfly_join12","Other",7,"B1","A7",1,"G007","2","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Melanargiini","Melanargia","Melanargia galathea","unknown","Nuremberg","Laufamholz","Germany","7","18.07.2021",2021,7,18,718,"18.07.2021",30,"","",NA,320,18.67,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G007","G007","Mg","Satyrinae","sample","high","SAMN55876232",1202446,"PRJNA1426605"
"AW.B1.G008_S8","16S_AW_Butterfly_join12","Other",8,"B1","A8",1,"G008","2","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Melanargiini","Melanargia","Melanargia galathea","unknown","Nuremberg","Laufamholz","Germany","29","18.07.2021",2021,7,18,718,"18.07.2021",30,"","",NA,320,18.67,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G008","G008","Mg","Satyrinae","sample","med","SAMN55876233",1202446,"PRJNA1426605"
"AW.B1.G009_S9","16S_AW_Butterfly_join12","Other",9,"B1","A9",1,"G009","2","sample","Other","Nymphalidae","Arne","Lepidoptera","Nymphalidae","Satyrinae","Melanargiini","Melanargia","Melanargia galathea","unknown","Nuremberg","Laufamholz","Germany","18","18.07.2021",2021,7,18,718,"18.07.2021",30,"","",NA,320,18.67,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G009","G009","Mg","Satyrinae","sample","med","SAMN55876234",1202446,"PRJNA1426605"
"AW.B1.G010_S10","16S_AW_Butterfly_join12","Other",10,"B1","A10",1,"G010","2","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Laufamholz","Germany","28","18.07.2021",2021,7,18,718,"18.07.2021",30,"","",NA,320,18.67,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G010","G010","Pn","Pierinae","sample","med","SAMN55876235",1202446,"PRJNA1426605"
"AW.B1.G011_S11","16S_AW_Butterfly_join12","Other",11,"B1","A11",1,"G011","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Laufamholz","Germany","27","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G011","G011","Pn","Pierinae","sample","high","SAMN55876236",1202446,"PRJNA1426605"
"AW.B1.G013_S13","16S_AW_Butterfly_join12","Other",13,"B1","B1",1,"G013","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","12","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G013","G013","Pr","Pierinae","sample","high","SAMN55876237",1202446,"PRJNA1426605"
"AW.B1.G014_S14","16S_AW_Butterfly_join12","Other",14,"B1","B2",1,"G014","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","29","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G014","G014","Pr","Pierinae","sample","med","SAMN55876238",1202446,"PRJNA1426605"
"AW.B1.G015_S15","16S_AW_Butterfly_join12","Other",15,"B1","B3",1,"G015","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Laufamholz","Germany","13","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G015","G015","Pr","Pierinae","sample","med","SAMN55876239",1202446,"PRJNA1426605"
"AW.B1.G016_S16","16S_AW_Butterfly_join12","Other",16,"B1","B4",1,"G016","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","13","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G016","G016","Pr","Pierinae","sample","high","SAMN55876240",1202446,"PRJNA1426605"
"AW.B1.G017_S17","16S_AW_Butterfly_join12","Other",17,"B1","B5",1,"G017","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","25","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G017","G017","Pr","Pierinae","sample","med","SAMN55876241",1202446,"PRJNA1426605"
"AW.B1.G018_S18","16S_AW_Butterfly_join12","Other",18,"B1","B6",1,"G018","3","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","14","25.07.2021",2021,7,25,725,"25.07.2021",31,"","",NA,320,19.6,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G018","G018","Pr","Pierinae","sample","high","SAMN55876242",1202446,"PRJNA1426605"
"AW.B1.G019_S19","16S_AW_Butterfly_join12","Other",19,"B1","B7",1,"G019","4","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","9","02.08.2021",2021,8,2,802,"02.08.2021",32,"","",NA,320,18.7,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G019","G019","Pr","Pierinae","sample","high","SAMN55876243",1202446,"PRJNA1426605"
"AW.B1.G020_S20","16S_AW_Butterfly_join12","Other",20,"B1","B8",1,"G020","4","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Laufamholz","Germany","5","02.08.2021",2021,8,2,802,"02.08.2021",32,"","",NA,320,18.7,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G020","G020","Pr","Pierinae","sample","high","SAMN55876244",1202446,"PRJNA1426605"
"AW.B1.G021_S21","16S_AW_Butterfly_join12","Other",21,"B1","B9",1,"G021","4","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Laufamholz","Germany","8","02.08.2021",2021,8,2,802,"02.08.2021",32,"","",NA,320,18.7,49.46372,11.15081,"","","Kita Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G021","G021","Pn","Pierinae","sample","med","SAMN55876245",1202446,"PRJNA1426605"
"AW.B1.G022_S22","16S_AW_Butterfly_join12","Other",22,"B1","B10",1,"G022","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","11","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G022","G022","Prn","Pierinae","sample","med","SAMN55876246",1202446,"PRJNA1426605"
"AW.B1.G023_S23","16S_AW_Butterfly_join12","Other",23,"B1","B11",1,"G023","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","9","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G023","G023","Prn","Pierinae","sample","high","SAMN55876247",1202446,"PRJNA1426605"
"AW.B1.G024_S24","16S_AW_Butterfly_join12","Other",24,"B1","B12",1,"G024","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","5","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G024","G024","Prn","Pierinae","sample","high","SAMN55876248",1202446,"PRJNA1426605"
"AW.B1.G025_S25","16S_AW_Butterfly_join12","Other",25,"B1","C1",1,"G025","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","25","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G025","G025","Prn","Pierinae","sample","med","SAMN55876249",1202446,"PRJNA1426605"
"AW.B1.G026_S26","16S_AW_Butterfly_join12","Other",26,"B1","C2",1,"G026","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","17","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G026","G026","Prn","Pierinae","sample","med","SAMN55876250",1202446,"PRJNA1426605"
"AW.B1.G027_S27","16S_AW_Butterfly_join12","Other",27,"B1","C3",1,"G027","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","8","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G027","G027","Prn","Pierinae","sample","med","SAMN55876251",1202446,"PRJNA1426605"
"AW.B1.G028_S28","16S_AW_Butterfly_join12","Other",28,"B1","C4",1,"G028","5","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","15","08.08.2021",2021,8,8,808,"08.08.2021",33,"","",NA,311,16.71,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G028","G028","Prn","Pierinae","sample","med","SAMN55876252",1202446,"PRJNA1426605"
"AW.B1.G029_S29","16S_AW_Butterfly_join12","Other",29,"B1","C5",1,"G029","6","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","9","14.08.2021",2021,8,14,814,"14.08.2021",33,"","9-11 Uhr",NA,311,19.64,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G029","G029","Pn","Pierinae","sample","high","SAMN55876253",1202446,"PRJNA1426605"
"AW.B1.G030_S31","16S_AW_Butterfly_join12","Other",31,"B1","C7",1,"G030","6","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","34","14.08.2021",2021,8,14,814,"14.08.2021",33,"","9-11 Uhr",NA,311,19.64,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G030","G030","Pn","Pierinae","sample","med","SAMN55876254",1202446,"PRJNA1426605"
"AW.B1.G031_S32","16S_AW_Butterfly_join12","Other",32,"B1","C8",1,"G031","6","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","20","14.08.2021",2021,8,14,814,"14.08.2021",33,"","9-11 Uhr",NA,311,19.64,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G031","G031","Pn","Pierinae","sample","low","SAMN55876255",1202446,"PRJNA1426605"
"AW.B1.G032_S33","16S_AW_Butterfly_join12","Other",33,"B1","C9",1,"G032","6","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","15","14.08.2021",2021,8,14,814,"14.08.2021",33,"","9-11 Uhr",NA,311,19.64,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G032","G032","Pr","Pierinae","sample","med","SAMN55876256",1202446,"PRJNA1426605"
"AW.B1.G033_S34","16S_AW_Butterfly_join12","Other",34,"B1","C10",1,"G033","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","17","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G033","G033","Pn","Pierinae","sample","high","SAMN55876257",1202446,"PRJNA1426605"
"AW.B1.G034_S35","16S_AW_Butterfly_join12","Other",35,"B1","C11",1,"G034","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","7","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G034","G034","Pr","Pierinae","sample","high","SAMN55876258",1202446,"PRJNA1426605"
"AW.B1.G035_S36","16S_AW_Butterfly_join12","Other",36,"B1","C12",1,"G035","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","12","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G035","G035","Pn","Pierinae","sample","med","SAMN55876259",1202446,"PRJNA1426605"
"AW.B1.G036_S37","16S_AW_Butterfly_join12","Other",37,"B1","D1",1,"G036","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","female","Nuremberg","Malmsbach","Germany","28","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G036","G036","Pr","Pierinae","sample","low","SAMN55876260",1202446,"PRJNA1426605"
"AW.B1.G037_S38","16S_AW_Butterfly_join12","Other",38,"B1","D2",1,"G037","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","14","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G037","G037","Pr","Pierinae","sample","med","SAMN55876261",1202446,"PRJNA1426605"
"AW.B1.G038_S39","16S_AW_Butterfly_join12","Other",39,"B1","D3",1,"G038","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","12","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G038","G038","Pn","Pierinae","sample","med","SAMN55876262",1202446,"PRJNA1426605"
"AW.B1.G039_S40","16S_AW_Butterfly_join12","Other",40,"B1","D4",1,"G039","7","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","14","16.08.2021",2021,8,16,816,"16.08.2021",34,"","10-12 Uhr",NA,311,20.5,49.47511,11.18093,"","","",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G039","G039","Pr","Pierinae","sample","med","SAMN55876263",1202446,"PRJNA1426605"
"AW.B1.G040_S41","16S_AW_Butterfly_join12","Other",41,"B1","D5",1,"G040","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","male","Nuremberg","Malmsbach","Germany","13","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G040","G040","Pn","Pierinae","sample","med","SAMN55876264",1202446,"PRJNA1426605"
"AW.B1.G041_S42","16S_AW_Butterfly_join12","Other",42,"B1","D6",1,"G041","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","17","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G041","G041","Pn","Pierinae","sample","med","SAMN55876265",1202446,"PRJNA1426605"
"AW.B1.G042_S43","16S_AW_Butterfly_join12","Other",43,"B1","D7",1,"G042","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris rapae","male","Nuremberg","Malmsbach","Germany","12","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G042","G042","Pr","Pierinae","sample","med","SAMN55876266",1202446,"PRJNA1426605"
"AW.B1.G043_S44","16S_AW_Butterfly_join12","Other",44,"B1","D8",1,"G043","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","10","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G043","G043","Pn","Pierinae","sample","med","SAMN55876267",1202446,"PRJNA1426605"
"AW.B1.G044_S45","16S_AW_Butterfly_join12","Other",45,"B1","D9",1,"G044","8","sample","Pieris","Pieridae","Arne","Lepidoptera","Pieridae","Pierinae","Pierini","Pieris","Pieris napi","female","Nuremberg","Malmsbach","Germany","10","03.09.2021",2021,9,3,903,"03.09.2021",36,"","",NA,311,14.56,49.47511,11.18093,"","","Pegnitz Wiese",NA,NA,NA,NA,NA,NA,"abdomen","","dry frozen","AW_B1_G044","G044","Pn","Pierinae","sample","med","SAMN55876268",1202446,"PRJNA1426605"
